service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
20241103-20241213-1111111,20241103,20241213,1,1,1,1,1,1,1
20250214-20250228-1111100,20250214,20250228,1,1,1,1,1,0,0
20241007-20241027-1111000,20241007,20241027,1,1,1,1,0,0,0
20250101-20250105-0011100,20250101,20250105,0,0,1,1,1,0,0
20241021-20241027-1111111,20241021,20241027,1,1,1,1,1,1,1
20241226-20250228-1111100,20241226,20250228,1,1,1,1,1,0,0
20250214-20250228-0000100,20250214,20250228,0,0,0,0,1,0,0
20241103-20241130-0000101,20241103,20241130,0,0,0,0,1,0,1
20241014-20241020-0000001,20241014,20241020,0,0,0,0,0,0,1
20241021-20241027-0000100,20241021,20241027,0,0,0,0,1,0,0
20241014-20241020-0000010,20241014,20241020,0,0,0,0,0,1,0
20241001-20241027-0000011,20241001,20241027,0,0,0,0,0,1,1
20241007-20241020-1111101,20241007,20241020,1,1,1,1,1,0,1
20241226-20250228-1111111,20241226,20250228,1,1,1,1,1,1,1
20241014-20241027-1111100,20241014,20241027,1,1,1,1,1,0,0
20241007-20241013-1110111,20241007,20241013,1,1,1,0,1,1,1
20250106-20250228-1111100,20250106,20250228,1,1,1,1,1,0,0
20241007-20241013-0001111,20241007,20241013,0,0,0,1,1,1,1
20241221-20241231-0000010,20241221,20241231,0,0,0,0,0,1,0
20250214-20250228-1111111,20250214,20250228,1,1,1,1,1,1,1
20250101-20250105-0011111,20250101,20250105,0,0,1,1,1,1,1
20241103-20241130-1111000,20241103,20241130,1,1,1,1,0,0,0
20250106-20250228-1111111,20250106,20250228,1,1,1,1,1,1,1
20241021-20241027-0000011,20241021,20241027,0,0,0,0,0,1,1
20241103-20241215-0000001,20241103,20241215,0,0,0,0,0,0,1
20241001-20241006-0111101,20241001,20241006,0,1,1,1,1,0,1
20241103-20241130-1111011,20241103,20241130,1,1,1,1,0,1,1
20241104-20241213-1111100,20241104,20241213,1,1,1,1,1,0,0
20241021-20241031-1111000,20241021,20241031,1,1,1,1,0,0,0
20241001-20241020-0000100,20241001,20241020,0,0,0,0,1,0,0
20241001-20241027-1111001,20241001,20241027,1,1,1,1,0,0,1
20241103-20241224-1111111,20241103,20241224,1,1,1,1,1,1,1
20250106-20250119-0000011,20250106,20250119,0,0,0,0,0,1,1
20241226-20250117-1111100,20241226,20250117,1,1,1,1,1,0,0
20241001-20241006-0111000,20241001,20241006,0,1,1,1,0,0,0
20241103-20241130-1111111,20241103,20241130,1,1,1,1,1,1,1
20241101-20241102-0000010,20241101,20241102,0,0,0,0,0,1,0
20241221-20241231-1101000,20241221,20241231,1,1,0,1,0,0,0
20250101-20250105-0010000,20250101,20250105,0,0,1,0,0,0,0
20241007-20241027-1111100,20241007,20241027,1,1,1,1,1,0,0
20250101-20250105-0001000,20250101,20250105,0,0,0,1,0,0,0
20241214-20241215-0000001,20241214,20241215,0,0,0,0,0,0,1
20250106-20250213-1111100,20250106,20250213,1,1,1,1,1,0,0
20241007-20241027-1111111,20241007,20241027,1,1,1,1,1,1,1
20241001-20241013-0000011,20241001,20241013,0,0,0,0,0,1,1
20241201-20241213-1111100,20241201,20241213,1,1,1,1,1,0,0
20250106-20250119-1111110,20250106,20250119,1,1,1,1,1,1,0
20241021-20241027-1111001,20241021,20241027,1,1,1,1,0,0,1
20241221-20241231-1101111,20241221,20241231,1,1,0,1,1,1,1
20250101-20250105-0001110,20250101,20250105,0,0,0,1,1,1,0
20250214-20250228-0000011,20250214,20250228,0,0,0,0,0,1,1
20241001-20241020-0000010,20241001,20241020,0,0,0,0,0,1,0
20241216-20241231-1111100,20241216,20241231,1,1,1,1,1,0,0
20250101-20250101-0010000,20250101,20250101,0,0,1,0,0,0,0
20241201-20241213-1111111,20241201,20241213,1,1,1,1,1,1,1
20241001-20241013-0000100,20241001,20241013,0,0,0,0,1,0,0
20250214-20250228-1111011,20250214,20250228,1,1,1,1,0,1,1
20241221-20250228-0000011,20241221,20250228,0,0,0,0,0,1,1
20241101-20241102-0000110,20241101,20241102,0,0,0,0,1,1,0
20241004-20241102-0000110,20241004,20241102,0,0,0,0,1,1,0
20241014-20241027-1111111,20241014,20241027,1,1,1,1,1,1,1
20241103-20241213-1111101,20241103,20241213,1,1,1,1,1,0,1
20241001-20250228-1111100,20241001,20250228,1,1,1,1,1,0,0
20241001-20241027-0000010,20241001,20241027,0,0,0,0,0,1,0
20241216-20241224-1111100,20241216,20241224,1,1,1,1,1,0,0
20250120-20250228-1111100,20250120,20250228,1,1,1,1,1,0,0
20241021-20241027-1111101,20241021,20241027,1,1,1,1,1,0,1
20241001-20241013-0000111,20241001,20241013,0,0,0,0,1,1,1
20241221-20241231-0000001,20241221,20241231,0,0,0,0,0,0,1
20241221-20241231-1101100,20241221,20241231,1,1,0,1,1,0,0
20250214-20250228-1111110,20250214,20250228,1,1,1,1,1,1,0
20250120-20250228-0000011,20250120,20250228,0,0,0,0,0,1,1
20241001-20241027-0000001,20241001,20241027,0,0,0,0,0,0,1
20241001-20241101-1111100,20241001,20241101,1,1,1,1,1,0,0
20241021-20241027-0000010,20241021,20241027,0,0,0,0,0,1,0
20250106-20250228-1111101,20250106,20250228,1,1,1,1,1,0,1
20241201-20241215-0000011,20241201,20241215,0,0,0,0,0,1,1
20250101-20250105-0010011,20250101,20250105,0,0,1,0,0,1,1
20250214-20250228-1111000,20250214,20250228,1,1,1,1,0,0,0
20241014-20241020-0000111,20241014,20241020,0,0,0,0,1,1,1
20241103-20241130-1111110,20241103,20241130,1,1,1,1,1,1,0
20250106-20250213-1111111,20250106,20250213,1,1,1,1,1,1,1
20241001-20241027-0000100,20241001,20241027,0,0,0,0,1,0,0
20241103-20241130-1111101,20241103,20241130,1,1,1,1,1,0,1
20241014-20241031-1111000,20241014,20241031,1,1,1,1,0,0,0
20241103-20241130-0000001,20241103,20241130,0,0,0,0,0,0,1
20241021-20241027-1111011,20241021,20241027,1,1,1,1,0,1,1
20250106-20250228-1111000,20250106,20250228,1,1,1,1,0,0,0
20241025-20241102-0000110,20241025,20241102,0,0,0,0,1,1,0
20241028-20241031-1111000,20241028,20241031,1,1,1,1,0,0,0
20241216-20250228-0000100,20241216,20250228,0,0,0,0,1,0,0
20250214-20250228-0000001,20250214,20250228,0,0,0,0,0,0,1
20241103-20241130-0000100,20241103,20241130,0,0,0,0,1,0,0
20250101-20250105-0001111,20250101,20250105,0,0,0,1,1,1,1
20250214-20250228-1111101,20250214,20250228,1,1,1,1,1,0,1
20241007-20241020-1111111,20241007,20241020,1,1,1,1,1,1,1
20250101-20250105-0011101,20250101,20250105,0,0,1,1,1,0,1
20241014-20241020-1111100,20241014,20241020,1,1,1,1,1,0,0
20250120-20250228-1111111,20250120,20250228,1,1,1,1,1,1,1
20241104-20241224-1111100,20241104,20241224,1,1,1,1,1,0,0
20241007-20241013-1111100,20241007,20241013,1,1,1,1,1,0,0
20241001-20241006-0000111,20241001,20241006,0,0,0,0,1,1,1
20241021-20241027-1111100,20241021,20241027,1,1,1,1,1,0,0
20250214-20250228-0000101,20250214,20250228,0,0,0,0,1,0,1
20250106-20250228-0000011,20250106,20250228,0,0,0,0,0,1,1
20241001-20241006-0111100,20241001,20241006,0,1,1,1,1,0,0
20241221-20241231-0000011,20241221,20241231,0,0,0,0,0,1,1
20241001-20241020-1111111,20241001,20241020,1,1,1,1,1,1,1
20241001-20241006-0111111,20241001,20241006,0,1,1,1,1,1,1
20241007-20241031-1111000,20241007,20241031,1,1,1,1,0,0,0
20241007-20241013-1111111,20241007,20241013,1,1,1,1,1,1,1
20241005-20250223-0000011,20241005,20250223,0,0,0,0,0,1,1
20241103-20241213-1111000,20241103,20241213,1,1,1,1,0,0,0
20250106-20250119-1111100,20250106,20250119,1,1,1,1,1,0,0
20241007-20241013-1111000,20241007,20241013,1,1,1,1,0,0,0
20241103-20241215-0000011,20241103,20241215,0,0,0,0,0,1,1
20241021-20241027-1111000,20241021,20241027,1,1,1,1,0,0,0
20241214-20241215-0000011,20241214,20241215,0,0,0,0,0,1,1
20241221-20241231-1101101,20241221,20241231,1,1,0,1,1,0,1
20241221-20241231-1101110,20241221,20241231,1,1,0,1,1,1,0
20250101-20250105-0001100,20250101,20250105,0,0,0,1,1,0,0
20241221-20241231-1111111,20241221,20241231,1,1,1,1,1,1,1
20250101-20250105-0010001,20250101,20250105,0,0,1,0,0,0,1
20241101-20241215-0000010,20241101,20241215,0,0,0,0,0,1,0
20250106-20250228-0000001,20250106,20250228,0,0,0,0,0,0,1
20241216-20241220-1111100,20241216,20241220,1,1,1,1,1,0,0
20241007-20241027-1111101,20241007,20241027,1,1,1,1,1,0,1
20241007-20241020-1111000,20241007,20241020,1,1,1,1,0,0,0
20241103-20241130-1111100,20241103,20241130,1,1,1,1,1,0,0
20241021-20241027-0000111,20241021,20241027,0,0,0,0,1,1,1
20250106-20250119-1111111,20250106,20250119,1,1,1,1,1,1,1
20241103-20241213-0000100,20241103,20241213,0,0,0,0,1,0,0
20241221-20250228-0000001,20241221,20250228,0,0,0,0,0,0,1
20241221-20250228-0000010,20241221,20250228,0,0,0,0,0,1,0
20241103-20241130-0000011,20241103,20241130,0,0,0,0,0,1,1
20241221-20250213-0000011,20241221,20250213,0,0,0,0,0,1,1
20250101-20250105-0000011,20250101,20250105,0,0,0,0,0,1,1
20241001-20241027-0000110,20241001,20241027,0,0,0,0,1,1,0
20241103-20241213-1111100,20241103,20241213,1,1,1,1,1,0,0
20241216-20241220-1111000,20241216,20241220,1,1,1,1,0,0,0
20241101-20241102-0000100,20241101,20241102,0,0,0,0,1,0,0
20241001-20241213-1111100,20241001,20241213,1,1,1,1,1,0,0
20241014-20241020-1111111,20241014,20241020,1,1,1,1,1,1,1
