trip_id,stop_sequence,stop_id,arrival_time,departure_time
YB2013-20240429-20240930-1111111,0,CXH,07:30:00,07:30:00
YB2013-20240429-20240930-1111111,1,YWH,08:05:00,08:05:00
YB2019-20240429-20240930-1111111,0,CXH,07:45:00,07:45:00
YB2019-20240429-20240930-1111111,1,YWH,08:20:00,08:20:00
YB2023-20240429-20240627-0000111,0,CXH,08:00:00,08:00:00
YB2023-20240429-20240627-0000111,1,YWH,08:35:00,08:35:00
YB2023-20240628-20240930-1111111,0,CXH,08:00:00,08:00:00
YB2023-20240628-20240930-1111111,1,YWH,08:35:00,08:35:00
YB2027-20240429-20240930-0000011,0,CXH,08:10:00,08:10:00
YB2027-20240429-20240930-0000011,1,YWH,08:45:00,08:45:00
YB2031-20240429-20240930-1111111,0,CXH,08:15:00,08:15:00
YB2031-20240429-20240930-1111111,1,YWH,08:50:00,08:50:00
YB2035-20240429-20240930-1111100,0,CXH,08:25:00,08:25:00
YB2035-20240429-20240930-1111100,1,YWH,09:00:00,09:00:00
YB2037-20240429-20240627-0001000,0,CXH,08:30:00,08:30:00
YB2037-20240429-20240627-0001000,1,YWH,09:05:00,09:05:00
YB2037-20240628-20240930-0001111,0,CXH,08:30:00,08:30:00
YB2037-20240628-20240930-0001111,1,YWH,09:05:00,09:05:00
YB2039-20240429-20240531-0000100,0,CXH,08:35:00,08:35:00
YB2039-20240429-20240531-0000100,1,YWH,09:10:00,09:10:00
YB2039-20240601-20240902-0001111,0,CXH,08:35:00,08:35:00
YB2039-20240601-20240902-0001111,1,YWH,09:10:00,09:10:00
YB2041-20240429-20240930-1111111,0,CXH,08:40:00,08:40:00
YB2041-20240429-20240930-1111111,1,YWH,09:15:00,09:15:00
YB2043-20240429-20240930-1111111,0,CXH,08:45:00,08:45:00
YB2043-20240429-20240930-1111111,1,YWH,09:20:00,09:20:00
YB2049-20240429-20240930-1111111,0,CXH,09:00:00,09:00:00
YB2049-20240429-20240930-1111111,1,YWH,09:35:00,09:35:00
YB2055-20240429-20240930-0000011,0,CXH,09:15:00,09:15:00
YB2055-20240429-20240930-0000011,1,YWH,09:50:00,09:50:00
YB2061-20240429-20240930-0001111,0,CXH,09:30:00,09:30:00
YB2061-20240429-20240930-0001111,1,YWH,10:05:00,10:05:00
YB2063-20240429-20240930-1111111,0,CXH,09:35:00,09:35:00
YB2063-20240429-20240930-1111111,1,YWH,10:10:00,10:10:00
YB2073-20240429-20240930-1111111,0,CXH,10:00:00,10:00:00
YB2073-20240429-20240930-1111111,1,YWH,10:35:00,10:35:00
YB2085-20240429-20240627-0001111,0,CXH,10:30:00,10:30:00
YB2085-20240429-20240627-0001111,1,YWH,11:05:00,11:05:00
YB2085-20240916-20240930-1110111,0,CXH,10:30:00,10:30:00
YB2085-20240916-20240930-1110111,1,YWH,11:05:00,11:05:00
YB2085-20240628-20240915-1111111,0,CXH,10:30:00,10:30:00
YB2085-20240628-20240915-1111111,1,YWH,11:05:00,11:05:00
YB2091-20240628-20240902-0001000,0,CXH,10:45:00,10:45:00
YB2091-20240628-20240902-0001000,1,YWH,11:20:00,11:20:00
YB2109-20240429-20240930-1100000,0,CXH,11:30:00,11:30:00
YB2109-20240429-20240930-1100000,1,YWH,12:05:00,12:05:00
YB2121-20240429-20240930-1111111,0,CXH,12:00:00,12:00:00
YB2121-20240429-20240930-1111111,1,YWH,12:35:00,12:35:00
YB2145-20240429-20240930-0001000,0,CXH,13:00:00,13:00:00
YB2145-20240429-20240930-0001000,1,YWH,13:35:00,13:35:00
YB2145-20240601-20240902-0001011,0,CXH,13:00:00,13:00:00
YB2145-20240601-20240902-0001011,1,YWH,13:35:00,13:35:00
YB2157-20240429-20240930-0000111,0,CXH,13:30:00,13:30:00
YB2157-20240429-20240930-0000111,1,YWH,14:05:00,14:05:00
YB2163-20240429-20240930-0000011,0,CXH,13:45:00,13:45:00
YB2163-20240429-20240930-0000011,1,YWH,14:20:00,14:20:00
YB2169-20240429-20240627-0000111,0,CXH,14:00:00,14:00:00
YB2169-20240429-20240627-0000111,1,YWH,14:35:00,14:35:00
YB2169-20240916-20240930-1011111,0,CXH,14:00:00,14:00:00
YB2169-20240916-20240930-1011111,1,YWH,14:35:00,14:35:00
YB2169-20240628-20240915-1111111,0,CXH,14:00:00,14:00:00
YB2169-20240628-20240915-1111111,1,YWH,14:35:00,14:35:00
YB2181-20240916-20240930-0000111,0,CXH,14:30:00,14:30:00
YB2181-20240916-20240930-0000111,1,YWH,15:05:00,15:05:00
YB2187-20240916-20240930-0011111,0,CXH,14:45:00,14:45:00
YB2187-20240916-20240930-0011111,1,YWH,15:20:00,15:20:00
