stop_id,stop_name,stop_lat,stop_lon,wheelchair_accessible
CXH,Vancouver Harbour,49.29032270266332,-123.11777725965597,1
YWH,Victoria Harbour,48.42379553177644,-123.3711021391537,1
ZNA,Nanaimo Harbour,49.168263526300784,-123.93558684234355,1
LKE,Seattle-Lake Union,47.62854846719234,-122.3398300000017,1
WPL,Powell River (Sunshine Coast),49.88450012434959,-124.54542089912444,1
YGG,Salt Spring (Ganges Harbour),48.85316711679383,-123.4976364675448,1
YAQ,Maple Bay,48.79493293196263,-123.60268488787642,1
YHS,Sechelt (Sunshine Coast),49.48180780178051,-123.75718441104632,1
YTP,Tofino,49.1507886658089,-125.89553612888312,1
YWS,Whistler,50.14358087574259,-122.94890686713262,1
YQQ,Comox,49.671154505031986,-124.9296398779417,1
CAP5,Pat Bay,48.65296225939078,-123.44733424267653,1
YPK,Pitt Meadows,49.21107527071926,-122.70383617329607,1
YVR,Richmond (YVR South),49.17731013635053,-123.16812262234089,1
YJJ,Victoria International Airport,48.42332000,-123.36986700,1
